dish_id,menu_section,dish_name,menu_description,cleaned_descriptions,contains_peanuts,contains_egg,contains_sesame,contains_fish,contains_shellfish,contains_soy,contains_meat
8c310c8c-2461-4360-b10e-d21f331d8a4f,Gluten Free Specialty Pies,Chicken Bacon Ranch,"chicken, bacon, ranch sauce, mozzarella and cheddar",chicken bacon ranch sauce mozzarella cheddar,0,0,0,0,0,0,1
2aba477b-461d-48b9-86ab-4a488bc39940,Wraps & Roll-Ups,Chinatown Chicken Wrap,tender chicken pieces simmered in oriental honey ginger sauce and overstuffed with crunchy bell peppers and rice. on syrian flat bread.,tender chicken pieces simmered oriental honey ginger sauce overstuffed crunchy bell peppers rice syrian flat bread,0,0,0,0,0,1,1
54678a69-b974-4391-8933-911a851351aa,Pratos Tradicionais (Traditional Dishes),Katchupa Ref (( small )),refried katchupa with eggs and linguica.,refried katchupa eggs linguica,0,1,0,0,0,0,1
6cb8a4f5-5ed5-4ebd-a8a9-5870a9127cf5,Club Sandwiches,Ham & Cheese Club,"served with mayo, lettuce, tomato, pickles and bacon.",served mayo lettuce tomato pickles bacon,0,0,0,0,0,0,1
881bf589-645a-426b-a43e-09002cdbbb3e,Noodles (Kitchen Entrée),Yaki Udon or Soba,"pan fried udon noodles or wheat flour noodles with choice of beef, chicken, or vegetables. served with miso soup.",pan fried udon noodles wheat flour noodles choice beef chicken vegetables served miso soup,0,0,1,0,0,1,1
4b7ba1ba-657a-4472-ac58-9440910ecac4,The Usual,Toad in the Hole,"2 eggs cooked in brioche with pepper jack, avocado, truffle salt and finished with rich white gravy.",eggs cooked brioche pepper jack avocado truffle salt finished rich white gravy,0,1,0,0,0,0,1
288171f8-4fa6-44a9-9955-7e13d736bca0,Chicken Subs,Chicken Stir Fry Sub (small),"served with choice of sweet and sour, teriyaki or house marinade.",served choice sweet sour teriyaki house marinade,0,0,0,0,0,1,1
1bd804c1-9158-45fc-b846-2bb890d30652,Starters From Sushi Bar,Tuna Tataki,slices of seared tuna serve in house ponzu sauce.,slices seared tuna serve house ponzu sauce,0,0,1,1,0,1,1
5243cf9f-57eb-4921-bbb3-bde759adfc1c,Specialty Pizzas,Pizza Con Prosciutto (12 inch small),"white pizza. thin sliced imported prosciutto, portobello mushrooms, fresh mozzarella, basil, pecorino romano, and extra virgin olive oil.",white pizza thin sliced imported prosciutto portobello mushrooms fresh mozzarella basil pecorino romano extra virgin olive oil,0,0,0,0,0,0,1
4d37d02f-b429-4307-b9a9-af2351471e35,Soups & House Made Salads,Classic Caesar Salad (entree),crisp romaine lettuce tossed to order with croutons and our house made caesar dressing accented with pecorino romano cheese.,crisp romaine lettuce tossed order croutons house made caesar dressing accented pecorino romano cheese,0,1,0,0,0,0,0
390dcd50-6fef-4d7a-859a-097398b8ffaf,The Rolls,Lobster Roll (jumbo),"what we're famous for! 1/4 lb. of chilled wild caught lobster in a split top bun with melted lemon butter, mayo, and our secret seasoning. 300 cals.",famous lb chilled wild caught lobster split top bun melted lemon butter mayo secret seasoning cals,0,0,0,0,1,0,1
b6f962fd-9a25-48ee-aa1f-fd9c6ec46871,Gourmet Pizza or Calzones,Greek Village,"spinach, feta, olives, tomatoes with oregano.",spinach feta olives tomatoes oregano,0,0,0,0,0,0,1
3a1ff00c-3652-4ef0-88c3-3a18d0806111,Almuerzo (Lunch),Tacos de Res,beef.,beef,0,0,0,0,0,0,1
9087d53c-167b-4f34-b870-1f95153c7da2,Pasta Dishes,Pumpkin Tortellini,in a mascarpone cheese cream sauce. served with garlic bread.,mascarpone cheese cream sauce served garlic bread,0,0,0,1,0,0,0
06c85853-2a78-4124-8bcc-e5d02c0f3e7b,Appetizers,Fried Rangoon,"lobster, crab.",lobster crab,0,1,0,0,1,0,0
a0c36965-70c8-461d-bc05-23a913e5c87b,Side Dishes,Arayes,ground beef or lamb with kafta spice spread inside bita bread and toasted.,ground beef lamb kafta spice spread inside bita bread toasted,0,0,0,0,0,0,1
ab9ad3ba-c17f-4f98-9627-f7807bcdff13,Entrees,Duck Confit Hash,"two eggs, yukon potato, chive.",two eggs yukon potato chive,0,1,0,0,0,0,1
b9b4a9b0-1f48-49ed-b12a-c0effa4ce9b7,Burgers,The Sophie,"prosciutto, goat cheese, candied walnuts, dalmatia fig spread, arugula tossed with lemon vinaigrette, balsamic reduction.",prosciutto goat cheese candied walnuts dalmatia fig spread arugula tossed lemon vinaigrette balsamic reduction,0,0,0,0,0,0,1
5b229011-c8d5-43bf-ae92-2a7589eb1f27,Chef's Specials,Takusan Maki,"grilled eel with smoked salmon, cream cheese and crabstick all wrapped in nori and fried tempura style topped with eel sauce and spicy mayo",grilled eel smoked salmon cream cheese crabstick wrapped nori fried tempura style topped eel sauce spicy mayo,0,1,0,1,1,0,1
02848003-56d1-411f-a7fb-0e7e3be61e40,Salads Selection,King’s Chef Salad,"sliced cucumber, green peppers, juicy cherry tomatoes, olives, pepperoncini and cucumbers served on a bed of crisp iceberg lettuce along with turkey, ham tied together with provolone.",sliced cucumber green peppers juicy cherry tomatoes olives pepperoncini cucumbers served bed crisp iceberg lettuce along turkey ham tied together provolone,0,1,0,0,0,0,1
a9a6d4e1-e505-4b58-8764-13feaeb348be,Kids Menu,Chicken Tenders & Fries,homemade bbq sauce.,homemade bbq sauce,0,0,0,0,0,0,1
c56678b1-665e-4752-a9a1-40980d0e06a3,Specialty Wraps,Chicken Caesar,"grilled chicken, romaine lettuce, croutons, and caesar dressing.",grilled chicken romaine lettuce croutons caesar dressing,0,0,0,0,0,0,1
734781e7-2f85-49fd-b39f-c6f83ada48a6,Salads,Spicy Beef Salad,spicy. grilled sliced beef mixed with spicy hot and sour homemade sauce on bed of tossed greens.,spicy grilled sliced beef mixed spicy hot sour homemade sauce bed tossed greens,0,0,0,0,0,0,1
4cf4d8ef-b97a-4c4a-9edb-27d1e2d2f088,Pesce - Fish,Pesce Spada,"local swordfish, sun-dried tomato pesto, lemon.",local swordfish tomato pesto lemon,0,0,0,0,0,0,1
1723bef5-2925-4ff5-a24e-5f42e825448f,Tacos,Beef Crispy Tacos,"served with lettuce, pico de gallo, sour cream, and cheese.",served lettuce pico de gallo sour cream cheese,0,0,0,0,0,0,1
3c1cdea8-5553-4eee-8c2a-64a9f9ceb654,Platos Adicionales,1 Pupusa,1 pupusa revuelta (pollo y queso) o de solo queso.,pupusa revuelta pollo queso de solo queso,0,0,0,0,0,0,0
9f250365-ff78-4e02-a7fa-d672b541a537,Soup Style Noodles,Grilled White Meat Chicken Soup Noodles,served with choice of noodle and choice of broth.,served choice noodle choice broth,0,1,0,0,0,0,1
35cf0679-b1f9-403e-986a-a4c72e082c92,Seafood,Shrimp,with snow peas.,snow peas,0,0,0,0,1,0,0
f92b16c2-9ebd-4d70-bc19-b638773d43dc,Pizza,Supreme Seafood Pizza,"shrimp, squid, octopus, crab stick, mix vegetable and cheese.",shrimp squid octopus crab stick mix vegetable cheese,0,0,0,0,1,0,0
6d1189ca-55c5-4d4d-afe0-5a495bc5dd50,Pasta Specials,Roasted Eggplant,with marinara sauce and parmesan cheese over ziti.,marinara sauce parmesan cheese ziti,0,1,0,0,0,0,0
29ea8bab-8806-4a4f-be75-22054af55743,Steaks & Hot Subs,"Meatball Parm Sub Medium (9"")","meatball, marinara, and cheese.",meatball marinara cheese,0,1,0,0,0,0,1
51045e4a-0691-4358-95be-4b0c494c6c6f,Desserts,Milk Chocolate Oreo Truffles,white chocolate cigarillo.,white chocolate cigarillo,0,0,0,0,0,0,0
d9617bce-bb30-47ef-a965-c71b39627f9d,Grinders,Chicken Parm Grinder (large),"marinara, melted mozzarella toasted.",marinara melted mozzarella toasted,0,0,0,0,0,0,1
ba4ab76f-23b5-4acd-8d41-d3d0706288a1,Cold Subs,Tuna Cold Sub,available in a wrap style.,available wrap style,0,0,0,1,0,0,0
cb675bb0-50a1-4e93-81f9-f0a13df53a27,Noodles,Cold Zaru Soba,"with crab stick, cucumber, egg, bamboo shoot and scallion, served with sweet soy sauce, with bonito on top.",crab stick cucumber egg bamboo shoot scallion served sweet soy sauce bonito top,0,1,0,1,1,1,0
3002793c-7b51-4c39-8ad4-8bc1d6e7b28d,Seafood,Captain Ak's Plate,"cole slaw, clam strips, scallops, shrimp, fish, tartar sauce, and french fries.",cole slaw clam strips scallops shrimp fish tartar sauce french fries,0,0,0,0,1,0,1
9da6fd75-f0db-45e1-b634-e6d45630a861,Extras & Sides,Steamed White Rice,steamed white rice.,steamed white rice,0,0,0,0,0,0,0
1750e794-62da-4266-94a8-287b3aea5259,Charcoal Grilled Shish Kebab Plates,Shashlik Kebab,"lean sirloin sliced and marinated in turkish spices and olive oil, topped with caramelized onion and mushroom.",lean sirloin sliced marinated turkish spices olive oil topped caramelized onion mushroom,0,0,0,0,0,0,1
e02262f2-593a-4e48-937b-08612e73a25b,Chinese Chicken,Korean Spicy Chicken,spicy.,spicy,0,0,0,0,0,1,1
8d725eeb-66f9-41d1-91e4-a9f8c17a6b25,Pupusas,Pupusas de Frijoles con Queso,with beans and cheese.,beans cheese,0,0,0,0,0,0,0
e4e66e5e-afbd-4b81-bec2-529060907bd1,Featured Items,Lobster Rangoon,4 pieces.,pieces,0,1,0,0,1,0,0
0a378070-75bd-401d-8849-8478376a52f9,Specialty Pizzas,"Meatball Pizza (18"")",pepper and onion.,pepper onion,0,1,0,0,0,0,1
9c56ec8b-5275-4e4a-8512-801fe5e97a50,Entrées - Vegetarian,Teriyaki,our very own homemade teriyaki recipe. served with mixed vegetables.,homemade teriyaki recipe served mixed vegetables,0,0,0,0,0,0,0
4e6bc6dc-cc40-4fbc-b3ee-5da78e8d1973,Appetizers,Fresh Summer Roll,"tuna, salmon, cream cheese flying-fish and avocado rolled in cucumber with spicy mayo on top and light vinegar sauce.",tuna salmon cream cheese avocado rolled cucumber spicy mayo top light vinegar sauce,0,0,1,1,0,1,0
bd59bcc9-e737-4182-aeee-0cc3f115b1ba,Salad,Cobb Salad (Large),"organic spring mix, dried cranberry, caramelized walnuts, italian sun-dried tomato, crumbled goat cheese, and balsamic vinaigrette.",organic spring mix dried cranberry caramelized walnuts italian tomato crumbled goat cheese balsamic vinaigrette,0,0,0,0,0,0,1
45abae40-ce9b-4207-8b55-58790545fb31,CRAFT PIZZAS,BELLA (whole bella gluten free),"mozzarella, roasted cherry tomatoes, roasted garlic, ricotta, balsamic drizzle, grana padano cheese, and fresh basil.",mozzarella roasted cherry tomatoes roasted garlic ricotta balsamic drizzle grana padano cheese fresh basil,0,0,0,0,0,0,0
f710162b-d431-4410-a374-5fae95114b2d,Deli Sandwiches,Turkey,oven roasted turkey.,oven roasted turkey,0,0,0,0,0,0,1
07922641-692f-4113-b5a6-be4fb806a9c9,Fried Rice,Singapore Fried Rice,"hot and spicy. shrimp, pork with curry.",hot spicy shrimp pork curry,0,1,1,0,1,1,1
a1cbf59f-d183-4bb9-858a-c07dfbb4023e,Value Dinners,Shrimp Roti Dinner,all dinners comes with rice 2 side order no roti your choices are channa potato sauted veggies string bean collard greens pumkin spinach or plantain please pick 2 item thanks,dinners comes rice side order roti choices channa potato sauted veggies string bean collard greens pumkin spinach plantain please pick item thanks,0,1,0,0,1,0,0
56e2297a-c829-43c7-b9ca-ba1212d6db1d,From the Gyro City Kitchen,Grape Leaves,"rice and ground beef seasoned, wrapped in grape leaves, baked, and topped with lemon sauce! served with your choice of 2 sides.",rice ground beef seasoned wrapped grape leaves baked topped lemon sauce served choice sides,0,0,0,0,0,0,1
d1f452bd-0fc7-4c0b-a39e-fdf89bcdb0c3,"Cold Subs, Wraps and Paninis",Cold Veggie Combo (large panini),includes choice of side and a can of soda.,includes choice side soda,0,0,0,0,0,0,0
4829bd4b-d13c-4f6d-ae19-6e1460b90c8e,Specialty Wraps,Club Wrap,"lettuce, tomatoes, bacon and mayo with a choice of turkey, roast beef, chicken cutlet, grilled chicken, tuna salad, chicken salad or seafood salad.",lettuce tomatoes bacon mayo choice turkey roast beef chicken cutlet grilled chicken tuna salad chicken salad seafood salad,0,0,0,1,0,0,1
15344dc3-581d-4b0f-af57-f32b26c72404,Specialty Pizzas,Supreme Pizza (Large),"pepperoni, mushroom, onion, sausage.",pepperoni mushroom onion sausage,0,0,0,0,0,0,1
30a4f250-a90b-4b9f-a5ed-416bda560a41,Vegetarian,Malai Kofta,vegetable balls cooked in a creamy nut sauce with fresh herbs and spices.,vegetable balls cooked creamy nut sauce fresh herbs spices,0,0,0,0,0,0,0
81320c32-ec49-4d4a-a706-c8deff558faf,Teasers,Southern Fried Pickles (medium),served with a spicy cajun sauce.,served spicy cajun sauce,0,0,0,0,0,0,0
73d5f8ba-e74e-4838-9475-d5796a731f61,Salads + Soups,Caesar Salad (large),"crisp romaine, croutons, parmesan, creamy caesar dressing.",crisp romaine croutons parmesan creamy caesar dressing,0,1,0,0,0,0,0
7b355edc-d908-4e9a-a06c-6e8397078105,Dinner Plates,Gyro Dinner,served with fries and salad.,served fries salad,0,0,0,0,0,0,1
337d1113-d877-44e5-b4e0-30324535f6d7,Beach Favorites,Mini Meatball Sliders,"2-3 oz. meatballs covered with provolone cheese, basil and tomato sauce on grilled buns. served with fries.",oz meatballs covered provolone cheese basil tomato sauce grilled buns served fries,0,1,0,0,0,0,1
71844484-b12e-4079-af52-893e6a65f45c,Desserts,Chafee Chocolate Lava Cake,"homemade chocolate cake, filled with hot fudge and topped with whipped cream.",homemade chocolate cake filled hot fudge topped whipped cream,0,1,0,0,0,0,0
0362124a-66a6-473a-a136-075a3b2afc60,Signature Dishes,Chef Darrow's Jambalaya,"chicken, sausage and shrimp.",chicken sausage shrimp,0,0,0,0,1,0,1
a85c357b-67e6-44c9-93fc-14ad596941b4,Grilled Subs,B.H.O.P. Special Sub,"bbq steak tips, chicken, grilled onions, peppers, mushrooms and provolone cheese.",bbq steak tips chicken grilled onions peppers mushrooms provolone cheese,0,0,0,0,0,0,1
83009082-a843-4081-914d-1c516250e86f,Sushi Maki,Fried Shrimp Roll,"fried shrimp, cucumber, and eel sauce.",fried shrimp cucumber eel sauce,0,0,0,0,1,0,1
